duplicate_group_id,duplicate_key,records_in_group,selected_client_id,merged_client_ids,dedup_reason
2,name_city:08237d37d5b58015,2,RAW-DUP-01468,"RAW-DUP-01468, RAW-01469",phone/email/name_city match
4,name_city:0b221ed10cee6592,2,RAW-DUP-00188,"RAW-DUP-00188, RAW-00189",phone/email/name_city match
11,name_city:15c77e61764f7bab,2,RAW-DUP-00085,"RAW-DUP-00085, RAW-00086",phone/email/name_city match
21,name_city:2927134beaded431,2,RAW-DUP-01180,"RAW-DUP-01180, RAW-01181",phone/email/name_city match
27,name_city:33e0ce598d9831e4,2,RAW-DUP-00481,"RAW-DUP-00481, RAW-00482",phone/email/name_city match
35,name_city:41bcbecd6941576c,2,RAW-01209,"RAW-01209, RAW-DUP-01208",phone/email/name_city match
41,name_city:475f837053f650be,2,RAW-01272,"RAW-01272, RAW-00367",phone/email/name_city match
45,name_city:495c8360c2deb40c,2,RAW-00227,"RAW-00227, RAW-DUP-00226",phone/email/name_city match
53,name_city:606ed3de74774109,2,RAW-00023,"RAW-00007, RAW-00023",phone/email/name_city match
59,name_city:6d2e0a23a569ef8e,2,RAW-00724,"RAW-00724, RAW-DUP-00723",phone/email/name_city match
62,name_city:7015ee1f899f65f8,2,RAW-DUP-00638,"RAW-DUP-00638, RAW-00639",phone/email/name_city match
76,name_city:8c2a99b6c480bc0f,2,RAW-DUP-01164,"RAW-DUP-01164, RAW-01165",phone/email/name_city match
92,name_city:aa85e15ff4681cdd,2,RAW-00356,"RAW-00356, RAW-DUP-00355",phone/email/name_city match
98,name_city:c06029dc9b3dadf9,2,RAW-00618,"RAW-00134, RAW-00618",phone/email/name_city match
99,name_city:c4f89b4a3b3b6785,2,RAW-01087,"RAW-DUP-01086, RAW-01087",phone/email/name_city match
100,name_city:c6fa388bac561089,2,RAW-DUP-01241,"RAW-DUP-01241, RAW-01242",phone/email/name_city match
104,name_city:ceff5910d915b52b,2,RAW-00944,"RAW-00944, RAW-DUP-00943",phone/email/name_city match
108,name_city:d182fdcfc5ddec74,2,RAW-00236,"RAW-01467, RAW-00236",phone/email/name_city match
109,name_city:d2527bf9103a8d7d,2,RAW-01393,"RAW-01393, RAW-00680",phone/email/name_city match
112,name_city:d9f24a184d9aa09d,2,RAW-DUP-01010,"RAW-DUP-01010, RAW-01011",phone/email/name_city match
113,name_city:da82fb97d212f88c,2,RAW-DUP-00386,"RAW-DUP-00386, RAW-00387",phone/email/name_city match
135,name_city:fa0bc44402f8c217,2,RAW-01274,"RAW-01432, RAW-01274",phone/email/name_city match
175,phone:+79103619410,2,RAW-DUP-01036,"RAW-DUP-01036, RAW-01037",phone/email/name_city match
177,phone:+79105452008,2,RAW-00411,"RAW-DUP-00410, RAW-00411",phone/email/name_city match
