order_date,order_month,order_week,day_of_week,order_id,customer_id,customer_name,city,customer_type,sales_channel,payment_method,order_status,manager,product_id,product_name,category,quantity,unit_price,discount_pct,gross_revenue,discount_amount,net_revenue,cost,margin,margin_pct,is_paid,is_cancelled,order_total,order_margin,avg_check,order_sequence,is_repeat_purchase
2026-01-01,2026-01,2026-W01,Thursday,O000497,C0012,Клиент 0012,Екатеринбург,B2C,Telegram,sbp,paid,Иван Петров,P001,Монтаж оборудования,Монтаж,1,34400,0.15,34400,5160.0,29240.0,18500,10740.0,0.3673,1,0,42940.0,18640.0,42940.0,1,0
2026-01-01,2026-01,2026-W01,Thursday,O000497,C0012,Клиент 0012,Екатеринбург,B2C,Telegram,sbp,paid,Иван Петров,P006,Консультация аналитика,Консалтинг,1,13700,0.0,13700,0.0,13700.0,5800,7900.0,0.5766,1,0,42940.0,18640.0,42940.0,1,0
2026-01-01,2026-01,2026-W01,Thursday,O000607,C0055,Клиент 0055,Санкт-Петербург,B2B,Яндекс Директ,sbp,paid,Анна Кузнецова,P004,Подписка Профи,Подписки,1,20500,0.0,20500,0.0,20500.0,6200,14300.0,0.6976,1,0,20500.0,14300.0,20500.0,1,0
2026-01-02,2026-01,2026-W01,Friday,O000019,C0057,Клиент 0057,Краснодар,B2C,Яндекс Директ,invoice,paid,Иван Петров,P004,Подписка Профи,Подписки,1,17500,0.0,17500,0.0,17500.0,6200,11300.0,0.6457,1,0,28200.0,16200.0,28200.0,1,0
2026-01-02,2026-01,2026-W01,Friday,O000019,C0057,Клиент 0057,Краснодар,B2C,Яндекс Директ,invoice,paid,Иван Петров,P006,Консультация аналитика,Консалтинг,1,10700,0.0,10700,0.0,10700.0,5800,4900.0,0.4579,1,0,28200.0,16200.0,28200.0,1,0
2026-01-02,2026-01,2026-W01,Friday,O000075,C0116,Клиент 0116,Нижний Новгород,B2B,Яндекс Директ,invoice,cancelled,Иван Петров,P006,Консультация аналитика,Консалтинг,1,13700,0.0,13700,0.0,13700.0,5800,7900.0,0.5766,0,1,13700.0,7900.0,13700.0,1,0
2026-01-02,2026-01,2026-W01,Friday,O000195,C0041,Клиент 0041,Москва,B2C,SEO,invoice,paid,Дмитрий Соколов,P005,Сервисное обслуживание,Сервис,1,15300,0.0,15300,0.0,15300.0,7600,7700.0,0.5033,1,0,15300.0,7700.0,15300.0,1,0
2026-01-02,2026-01,2026-W01,Friday,O000250,C0073,Клиент 0073,Самара,B2B,Яндекс Директ,card,paid,Дмитрий Соколов,P002,Настройка интеграции,Интеграции,2,21700,0.1,43400,4340.0,39060.0,24400,14660.0,0.3753,1,0,39060.0,14660.0,39060.0,1,0
2026-01-02,2026-01,2026-W01,Friday,O000265,C0010,Клиент 0010,Самара,B2B,Яндекс Директ,invoice,paid,Иван Петров,P004,Подписка Профи,Подписки,1,17200,0.05,17200,860.0,16340.0,6200,10140.0,0.6206,1,0,16340.0,10140.0,16340.0,1,0
2026-01-03,2026-01,2026-W01,Saturday,O000011,C0035,Клиент 0035,Самара,B2B,CRM,invoice,paid,Мария Орлова,P004,Подписка Профи,Подписки,1,19300,0.0,19300,0.0,19300.0,6200,13100.0,0.6788,1,0,19300.0,13100.0,19300.0,1,0
